1173023, RS Umum Cut Meutia,N/A
1174064,RS Umum Yayasan Kasih Ibu,N/A
1171085,RS Umum Malahayati,N/A
1171106,RS Umum Teungku Fakinah,N/A
1171143,RS Bhayangkara Banda Aceh,N/A
1201016,RS Umum Daerah Gunungsitoli,N/A
1205061,RS Umum HKBP Balige,N/A
1207052,RS Umum Sri Torgamba,N/A
1208020,RS Umum Ibu Kartini,N/A
1209010,RS Umum Balimbingan PTP 4,N/A
1209021,RS Umum Laras Kabupaten Simalungun,N/A
1209032,RS Umum Bridgestone Sumatera Rubber Estate,N/A
1209065,RS Umum Daerah Parapat,N/A
1211092,RS Umum Ester,N/A
1212023,RS Umum Dr Gerhard L Tobing,N/A
1212045,RS Umum Sembiring Deli Tua,N/A
6504027,RS Pratama Sebatik,N/A
1212093,RS Umum Sari Mutiara Lubuk Pakam,N/A
1212136,RS Umum Sinar Husni,N/A
1213035,RS Umum Pertamina Pangkalan Brandan,N/A
1271031,RS Bantuan Sibolga,N/A
1273092,RS Umum Mina Padi,N/A
1274034,RS Umum Sri Pamela,N/A
1274056,RS Umum Herna,N/A
1275050,RS Umum Deli,N/A
1275083,RS Umum  Herna,N/A
1275130,RS Umum Materna,N/A
1275141,RS AL Dr. Komang Makes Belawan,N/A
1275163,RS Umum Islam Malahayati,N/A
1275298,RS Umum Mitra Sejati,N/A
1275516,RS Umum Mitra Medika,N/A
1275622,RS Umum Imelda Pekerja Indonesia,N/A
1275692,RS Umum Permata Bunda,N/A
1275702,RS Ibu dan Anak Sri Ratu,N/A
1275724,RS Umum Sarah,N/A
1275735,RS Umum Sehat,N/A
1275750,RS Umum Prof.Dr. Boloni,N/A
1275772,RS Umum Bandung,N/A
1275783,RS Ibu dan Anak Rosiva,N/A
1275826,RS Umum Bahagia Medan,N/A
1275830,RS Umum Wulan Windy,N/A
1275841,RS Umum Estomihi,N/A
1275852,RS Umum Columbia Asia,N/A
1275874,RS Khusus Gigi dan Mulut Univ. Sumatera Utara,N/A
1275885,RS Umum Muhammadiyah,N/A
1276025,RS Bangkatan PTPN II,N/A
1277015,RS TNI Tk. IV 01.07.03,N/A
1371032,RS Umum Yos Sudarso,N/A
1371091,RS Umum Islam Ibnu Sina,N/A
1371123,RS Bhayangkara Padang,N/A
1223005,RS Tiga Bersaudara,N/A
1371251,RS Jiwa Puti Bungsu,N/A
1371273,RSIA Bunda Padang,N/A
1371284,RS Umum Selaguri,N/A
1371305,RS Umum Semen Padang Hospital,N/A
1302015,RS Khusus Ibu dan Anak Permata Hati,N/A
1371422,RS Khusus Bedah Ropanasuri,N/A
1371444, RS Umum Daerah dr. Rasidin Padang,N/A
1375025, RS Tk IV Bukit Tinggi,N/A
8271058,RS Bhayangkara Tk. IV Ternate,N/A
1471371,RS Umum  Lancang Kuning,N/A
1471382,RS Umum  Pekanbaru Medical Center,N/A
1473024,RS Pertamina Dumai,N/A
1601035, RS Santo Antonio Baturaja,N/A
1609046,RS Umum Panti Bhaktiningsih,N/A
1672026,RS Pertamina Kota Prabumulih,N/A
1603030,RS Umum Bukit Asam Medika,N/A
1604020,RS Tk IV Lahat,N/A
1671046,RS Umum Pusri Palembang,N/A
1671083,RS Islam Siti Khadijah,N/A
1671276,RS Umum Myria Palembang,N/A
1705018, RS Umum Daerah Tais Kabupaten Seluma,N/A
1771036,RS Rafflesia Bengkulu,N/A
1806035,RS Umum Handayani,N/A
1871026, RS Tk IV 02.07.04,N/A
1871180,RS Umum Imanuel Way Halim,N/A
1871223,RS Khusus Mata Permana Sari,N/A
1871234, RS Umum Bumi Waras,N/A
1871416, RS Umum Graha Husada,N/A
1871427,RS Umum Pertamina-Bintang Amin Lampung,N/A
1871438,RS Bhayangkara Polda Lampung,N/A
1871020,RS Umum  Mardi Waluyo,N/A
1901031,RS Umum Medika Stannia,N/A
2072023,RS Umum AL Dr Midiyato S,N/A
2071015,RS Umum Santa Elisabeth Batam,N/A
7310021,RSU Kelas D Pratama Kab. Pangkajene Kepulauan,N/A
2071037,RS Umum Charis Medika,N/A
2071012,RS Umum Budi Kemuliaan Batam,N/A
2071023,RS Umum Harapan Bunda Batam,N/A
2071056,RS Umum Camatha Sahidya,N/A
2071103,RS Umum Awal Bros Batam,N/A
3171023,RS Umum Pusat Pertamina,N/A
3171060,RS Jiwa Dharmawangsa,N/A
3171216,RS Khusus Ibu dan Anak Panti Nugraha,N/A
3171286,RS Ibu dan Anak Budhi Jaya,N/A
3171413,RS Ibu dan Anak Asih,N/A
6112003,RSUD Kabupaten Kubu Raya,N/A
3171461,RS Umum Tebet,N/A
3171515,RS Umum MMC,N/A
3171552,RS Khusus Bedah THT Yayasan Yurino,N/A
3171574,RS Umum Prikasih,N/A
3171621,RSU Gandaria,N/A
3171632,RS Umum Agung,N/A
3171643,RS Umum Siaga Raya,N/A
3171665,RS Umum Medistra,N/A
3171680,RS Umum Tria Dipa,N/A
3171691,RS Gigi dan Mulut Univ.Prof.Moestopo,N/A
3171713,RS Umum Kartini,N/A
3171724,RS Ibu dan Anak Brawijaya Women and Children Hospi,N/A
3171735,RS Umum Jakarta Medical Center (JMC),N/A
3171746, RS Umum Aulia,N/A
3171768,RS Umum Murni Teguh Sudirman Jakarta,N/A
3171781,RS Muhammadiyah Taman Puring,N/A
3172035,RS Umum Pengayom Cipinang,N/A
3172050,RS Pusdikkes,N/A
3172061,RS Pusat AU dr. Esnawan Antariksa,N/A
3172083,RS Tk IV Cijantung,N/A
3172094,RS Umum FK UKI,N/A
3172126,RS Umum Daerah Pasar Rebo,N/A
3172206,RS Umum Premier Jatinegara,N/A
3172243,RS Umum Hermina Jatinegara,N/A
3172301,RS Khusus Bedah Rawamangun,N/A
3172495,RS Umum Omni Medical Center,N/A
3172516,RS Umum Kartika Pulo Mas,N/A
3172531,RS Umum Harapan Jayakarta,N/A
3172590,RS Umum Yadika,N/A
3172702,RS Umum Dharma Nugraha,N/A
3172724,RS Umum Haji Jakarta,N/A
3173025,RS Umum PAD Gatot Soebroto,N/A
3173073,RS Umum Islam Jakarta Cempaka Putih,N/A
3173116,RS Umum YPK Mandiri,N/A
3173506,RS Umum dr. Abdul Radjak,N/A
3173532,RS Khusus THT Bedah KL Proklamasi,N/A
3173543,RS Umum Abdi Waluyo,N/A
3173623,RS Khusus Mata Jakarta Eye Center,N/A
3173634,RS Khusus Bedah Bina Estetika,N/A
3173656,RS Umum Mitra Kemayoran,N/A
3173671,RS Gigi dan Mulut FKG Univ.Indonesia,N/A
3173695,RS Ibu dan Anak Tambak,N/A
3174015,RS Umum Sumber Waras,N/A
3174026,RS Umum Pelni Petamburan,N/A
3174030,RS Umum Bhakti Mulia,N/A
3174282,RS Jantung dan Pembuluh Darah Harapan Kita,N/A
3174351,RS Umum Siloam Hospitals Kebon Jeruk,N/A
3174416,RS Umum Patria IKKT,N/A
3174420,RS Umum Medika Permata Hijau,N/A
3174453,RS Umum Cinta Kasih Tzu Chi,N/A
3174486,RS Umum  Royal Taruma,N/A
3174497,RS Umum Bina Sehat Mandiri,N/A
3174508,RS Umum Puri Indah ,N/A
3175031,RS Umum Akademik Atma Jaya,N/A
3175042,RS Umum  Pelabuhan Tg.Priok,N/A
3175315,RS Umum  Satya Negara,N/A
3175326,RS Umum Islam Jakarta Utara,N/A
3175352,RS Umum Pantai Indah Kapuk,N/A
3175385,RS Umum Mitra Keluarga Kelapa Gading,N/A
3175396,RS Umum Port Medical Center,N/A
3175407,RS Umum Gading Pluit,N/A
3201013,RS Umum Harapan Depok,N/A
3201035,RS Umum Bhakti Yudha,N/A
3201061,RS Umum Tugu Ibu,N/A
3201072, RS Umum Puri Cinere,N/A
